SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,sector
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,INE031B01049,2,Healthcare
AJAXENGG,Ajax Engineering Limited,EQ,17-FEB-2025,1,1,INE274Y01021,1,Industrials
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,10,1,INE298G01027,10,Real Estate
AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,2,1,INE820Y01021,2,Consumer Defensive
AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,10,1,INE737W01013,10,Industrials
AKG,Akg Exim Limited,EQ,16-FEB-2021,10,1,INE00Y801016,10,Industrials
AKI,AKI India Limited,BE,06-APR-2023,2,1,INE642Z01026,2,Consumer Cyclical
AKSHAR,Akshar Spintex Limited,EQ,23-MAY-2022,1,1,INE256Z01025,1,Consumer Cyclical
AKSHARCHEM,AksharChem India Limited,EQ,28-MAR-2017,10,1,INE542B01011,10,Basic Materials
AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-AUG-2000,5,1,INE523B01011,5,Technology
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-AUG-2024,2,1,INE09XN01023,2,Healthcare
AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,10,1,INE133A01011,10,Basic Materials
ALANKIT,Alankit Limited,EQ,30-JUN-2015,1,1,INE914E01040,1,Technology
ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,10,1,INE155C01010,10,Healthcare
ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2,1,INE426A01027,2,Real Estate
ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5,1,INE062D01024,5,Industrials
ALIVUS,Alivus Life Sciences Limited,EQ,06-AUG-2021,2,1,INE03Q201024,2,Healthcare
ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10,1,INE773I01017,10,Basic Materials
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2,Healthcare
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2,1,INE150B01039,2,Basic Materials
ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2,Industrials
ALLDIGI,Alldigi Tech Limited,EQ,09-MAY-2005,10,1,INE835G01018,10,Industrials
ALLTIME,All Time Plastics Limited,EQ,14-AUG-2025,2,1,INE0GV601021,2,Consumer Defensive
ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,1,1,INE326B01035,1,Financial Services
ALOKINDS,Alok Industries Limited,EQ,19-FEB-2020,1,1,INE270A01029,1,Consumer Cyclical
ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10,1,INE385I01010,10,Healthcare
ALPHAGEO,Alphageo (India) Limited,EQ,11-MAY-2007,10,1,INE137C01018,10,Energy
ALPSINDUS,Alps Industries Limited,BE,24-APR-1996,10,1,INE093B01015,10,Consumer Cyclical
AMANTA,Amanta Healthcare Limited,EQ,09-SEP-2025,10,1,INE084K01015,10,Healthcare
AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10,1,INE371P01015,10,Consumer Cyclical
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004,10,1,INE792B01012,10,Consumer Defensive
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10,1,INE540G01014,10,Consumer Cyclical
AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2,1,INE079A01024,2,Basic Materials
AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10,1,INE005I01014,10,Consumer Cyclical
AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995,2,1,INE606A01024,2,Real Estate
AMNPLST,Amines & Plasticizers Limited,EQ,10-NOV-2023,2,1,INE275D01022,2,Basic Materials
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1,1,INE098F01031,1,Healthcare
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5,1,INE463V01026,5,Financial Services
ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2,1,INE242C01024,2,Real Estate
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,2,1,INE435A01051,2,Basic Materials
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,2,1,INE715B01021,2,Basic Materials
ANGELONE,Angel One Limited,EQ,05-OCT-2020,10,1,INE732I01013,10,Financial Services
ANIKINDS,Anik Industries Limited,EQ,21-MAY-2008,10,1,INE087B01017,10,Consumer Defensive
ANKITMETAL,Ankit Metal & Power Limited,BZ,14-MAR-2013,10,1,INE106I01010,10,Basic Materials
ANMOL,Anmol India Limited,EQ,04-JUN-2021,10,1,INE02AR01019,10,Energy
ANSALAPI,Ansal Properties & Infrastructure Limited,BZ,27-JAN-2006,5,1,INE436A01026,5,Real Estate
ANTELOPUS,Antelopus Selan Energy Limited,EQ,26-SEP-2006,10,1,INE818A01017,10,Energy
ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997,1,1,INE414B01021,1,Consumer Cyclical
ANTHEM,Anthem Biosciences Limited,EQ,21-JUL-2025,2,1,INE0CZ201020,2,Healthcare
ANUHPHR,Anuh Pharma Limited,EQ,20-DEC-2024,5,1,INE489G01022,5,Healthcare
ANUP,The Anup Engineering Limited,EQ,01-MAR-2019,10,1,INE294Z01018,10,Industrials
ANURAS,Anupam Rasayan India Limited,EQ,24-MAR-2021,10,1,INE930P01018,10,Basic Materials
APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10,Industrials
APCL,Anjani Portland Cement Limited,EQ,10-APR-2017,10,1,INE071F01012,10,Basic Materials
APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995,2,1,INE116A01032,2,Basic Materials
APEX,Apex Frozen Foods Limited,EQ,04-SEP-2017,10,1,INE346W01013,10,Consumer Defensive
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,2,1,INE702C01027,2,Basic Materials
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2,1,INE901L01018,2,Healthcare
APOLLO,Apollo Micro Systems Limited,EQ,22-JAN-2018,1,1,INE713T01028,1,Industrials
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5,1,INE437A01024,5,Healthcare
APOLLOPIPE,Apollo Pipes Limited,EQ,11-NOV-2019,10,1,INE126J01016,10,Industrials
APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1,1,INE438A01022,1,Consumer Cyclical
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-JAN-2015,5,1,INE451F01024,5,Industrials
APTECHT,Aptech Limited,EQ,27-SEP-2002,10,1,INE266F01018,10,Consumer Defensive
APTUS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021,2,1,INE852O01025,2,Financial Services
ARCHIDPLY,Archidply Industries Limited,EQ,04-JUL-2008,10,1,INE877I01016,10,Basic Materials
ARCHIES,Archies Limited,EQ,02-SEP-1998,2,1,INE731A01020,2,Consumer Cyclical
ARE&M,Amara Raja Energy & Mobility Limited,EQ,05-SEP-2003,1,1,INE885A01032,1,Industrials
ARENTERP,Rajdarshan Industries Limited,EQ,18-OCT-1995,10,1,INE610C01014,10,Basic Materials
ARFIN,Arfin India Limited,BE,22-JUL-2025,1,1,INE784R01023,1,Basic Materials
ARIES,Aries Agro Limited,EQ,11-JAN-2008,10,1,INE298I01015,10,Basic Materials
ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-JUN-2021,1,1,INE420B01036,1,Financial Services
ARIHANTSUP,Arihant Superstructures Limited,EQ,28-MAR-2017,10,1,INE643K01018,10,Real Estate
ARISINFRA,Arisinfra Solutions Limited,EQ,25-JUN-2025,2,1,INE0H9P01028,2,Industrials
ARKADE,Arkade Developers Limited,EQ,24-SEP-2024,10,1,INE0QRL01017,10,Real Estate
ARMANFIN,Arman Financial Services Limited,EQ,14-JUN-2016,10,1,INE109C01017,10,Financial Services
AROGRANITE,Aro Granite Industries Limited,EQ,24-APR-2007,10,1,INE210C01013,10,Industrials
ARROWGREEN,Arrow Greentech Limited,EQ,21-MAY-2015,10,1,INE570D01018,10,Consumer Cyclical
ARSHIYA,Arshiya Limited,BZ,14-DEC-2009,2,1,INE968D01022,2,Industrials
ARSSBL,Anand Rathi Share and Stock Brokers Limited,EQ,30-SEP-2025,5,1,INE549H01021,5,Financial Services
ARTNIRMAN,Art Nirman Limited,EQ,18-OCT-2021,10,1,INE738V01013,10,Real Estate
ARVEE,Arvee Laboratories (India) Limited,EQ,22-MAR-2021,10,1,INE006Z01016,10,Basic Materials
ARVIND,Arvind Limited,EQ,08-FEB-1995,10,1,INE034A01011,10,Consumer Cyclical
ARVINDFASN,Arvind Fashions Limited,EQ,08-MAR-2019,4,1,INE955V01021,4,Consumer Cyclical
ARVSMART,Arvind SmartSpaces Limited,EQ,26-AUG-2015,10,1,INE034S01021,10,Real Estate
ASAHIINDIA,Asahi India Glass Limited,EQ,18-MAR-1998,1,1,INE439A01020,1,Consumer Cyclical
ASAHISONG,Asahi Songwon Colors Limited,EQ,29-AUG-2011,10,1,INE228I01012,10,Basic Materials
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-MAR-2002,10,1,INE900C01027,10,Consumer Cyclical
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-FEB-2020,10,1,INE073G01016,10,Consumer Defensive
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-SEP-1995,2,1,INE348A01023,2,Basic Materials
ASHIANA,Ashiana Housing Limited,EQ,29-JUN-2011,2,1,INE365D01021,2,Real Estate
ASHIMASYN,Ashima Limited,EQ,27-JUL-1995,10,1,INE440A01010,10,Real Estate
ASHOKA,Ashoka Buildcon Limited,EQ,14-OCT-2010,5,1,INE442H01029,5,Industrials
ASHOKAMET,Ashoka Metcast Limited,EQ,27-JUN-2023,10,1,INE760Y01011,10,Basic Materials
ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995,1,1,INE208A01029,1,Industrials
ASIANENE,Asian Energy Services Limited,EQ,09-DEC-2021,10,1,INE276G01015,10,Energy
ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-APR-2010,10,1,INE363A01022,10,Consumer Cyclical
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1,1,INE021A01026,1,Basic Materials
ASIANTILES,Asian Granito India Limited,EQ,23-AUG-2007,10,1,INE022I01019,10,Industrials
ASKAUTOLTD,ASK Automotive Limited,EQ,15-NOV-2023,2,1,INE491J01022,2,Consumer Cyclical
ASMS,Bartronics India Limited,BE,09-FEB-2023,1,1,INE855F01042,1,Technology
ASPINWALL,Aspinwall and Company Limited,EQ,14-JUN-2016,10,1,INE991I01015,10,Consumer Defensive
ASTEC,Astec LifeSciences Limited,EQ,25-NOV-2009,10,1,INE563J01010,10,Basic Materials
ASTERDM,Aster DM Healthcare Limited,EQ,26-FEB-2018,10,1,INE914M01019,10,Healthcare
ASTRAL,Astral Limited,EQ,20-MAR-2007,1,1,INE006I01046,1,Industrials
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-NOV-2004,2,1,INE386C01029,2,Technology
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2,1,INE203A01020,2,Healthcare
ASTRON,Astron Paper & Board Mill Limited,EQ,29-DEC-2017,10,1,INE646X01014,10,Basic Materials
ATALREAL,Atal Realtech Limited,EQ,12-MAY-2023,2,1,INE0ALR01029,2,Industrials
ATAM,Atam Valves Limited,EQ,10-MAY-2023,10,1,INE09KD01013,10,Industrials
ATGL,Adani Total Gas Limited,EQ,05-NOV-2018,1,1,INE399L01023,1,Utilities
ATHERENERG,Ather Energy Limited,EQ,06-MAY-2025,1,1,INE0LEZ01016,1,Consumer Cyclical
ATL,Allcargo Terminals Limited,EQ,10-AUG-2023,2,1,INE0NN701020,2,Industrials
ATLANTAA,ATLANTAA LIMITED,BE,25-SEP-2006,2,1,INE285H01022,2,Industrials
ATLANTAELE,Atlanta Electricals Limited,EQ,29-SEP-2025,2,1,INE0Z4F01028,2,Industrials
ATLASCYCLE,Atlas Cycles (Haryana) Limited,EQ,23-OCT-1996,5,1,INE446A01025,5,Consumer Cyclical
ATUL,Atul Limited,EQ,06-MAY-1998,10,1,INE100A01010,10,Basic Materials
ATULAUTO,Atul Auto Limited,EQ,26-JUN-2013,5,1,INE951D01028,5,Consumer Cyclical
AUBANK,AU Small Finance Bank Limited,EQ,10-JUL-2017,10,1,INE949L01017,10,Financial Services
AURIONPRO,Aurionpro Solutions Limited,EQ,25-OCT-2005,10,1,INE132H01018,10,Technology
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,1,1,INE406A01037,1,Healthcare
AURUM,Aurum PropTech Limited,EQ,19-AUG-2015,5,1,INE898S01029,5,Real Estate
AUSOMENT,Ausom Enterprise Limited,EQ,17-APR-1996,10,1,INE218C01016,10,Financial Services
AUTOAXLES,Automotive Axles Limited,EQ,29-MAY-2003,10,1,INE449A01011,10,Consumer Cyclical
AUTOIND,Autoline Industries Limited,EQ,31-JAN-2007,10,1,INE718H01014,10,Consumer Cyclical
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-JUL-2017,10,1,INE349W01017,10,Consumer Defensive
AVALON,Avalon Technologies Limited,EQ,18-APR-2023,2,1,INE0LCL01028,2,Technology
AVANTEL,Avantel Limited,EQ,31-JUL-2024,2,1,INE005B01027,2,Technology
AVANTIFEED,Avanti Feeds Limited,EQ,15-APR-2015,1,1,INE871C01038,1,Consumer Defensive
AVG,AVG Logistics Limited,EQ,12-MAY-2023,10,1,INE680Z01018,10,Industrials
AVL,Aditya Vision Limited,EQ,06-NOV-2024,1,1,INE679V01027,1,Consumer Cyclical
AVONMORE,Avonmore Capital & Management Services Limited,EQ,04-JAN-2023,1,1,INE323B01024,1,Financial Services
AVROIND,AVRO INDIA LIMITED,EQ,07-APR-2022,10,1,INE652Z01017,10,Consumer Cyclical
AVTNPL,AVT Natural Products Limited,EQ,10-JAN-2007,1,1,INE488D01021,1,Basic Materials
AWFIS,Awfis Space Solutions Limited,EQ,30-MAY-2024,10,1,INE108V01019,10,Industrials
AWHCL,Antony Waste Handling Cell Limited,EQ,01-JAN-2021,5,1,INE01BK01022,5,Industrials
AWL,AWL Agri Business Limited,EQ,08-FEB-2022,1,1,INE699H01024,1,Consumer Defensive
AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,2,1,INE238A01034,2,Financial Services
AXISCADES,AXISCADES Technologies Limited,BE,21-DEC-2000,5,1,INE555B01013,5,Industrials
AXITA,Axita Cotton Limited,EQ,21-JUN-2022,1,1,INE02EZ01022,1,Consumer Cyclical
AYMSYNTEX,AYM Syntex Limited,EQ,14-AUG-2015,10,1,INE193B01039,10,Consumer Cyclical
AZAD,Azad Engineering Limited,EQ,28-DEC-2023,2,1,INE02IJ01035,2,Industrials
BAFNAPH,Bafna Pharmaceuticals Limited,BE,27-FEB-2020,10,1,INE878I01022,10,Healthcare
BAGFILMS,B.A.G Films and Media Limited,EQ,17-OCT-2003,2,1,INE116D01028,2,Communication Services
BAIDFIN,Baid Finserv Limited,EQ,20-JAN-2023,2,1,INE020D01022,2,Financial Services
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-MAY-2008,10,1,INE917I01010,10,Consumer Cyclical
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-AUG-2010,1,1,INE933K01021,1,Consumer Defensive
BAJAJELEC,Bajaj Electricals Limited,EQ,02-NOV-2007,2,1,INE193E01025,2,Consumer Cyclical
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,1,1,INE918I01026,1,Financial Services
BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-NOV-2021,5,1,INE411U01027,5,Healthcare
BAJAJHFL,Bajaj Housing Finance Limited,EQ,16-SEP-2024,10,1,INE377Y01014,10,Financial Services
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-MAY-1995,1,1,INE306A01021,1,Consumer Defensive
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-MAR-1995,10,1,INE118A01012,10,Financial Services
BAJAJINDEF,Indef Manufacturing Limited,EQ,21-FEB-2025,1,1,INE0O9T01021,1,Industrials
BAJEL,Bajel Projects Limited,EQ,19-DEC-2023,2,1,INE0KQN01018,2,Utilities
BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,1,1,INE296A01032,1,Financial Services
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,EQ,12-SEP-2024,10,1,INE0S2G01011,10,Consumer Cyclical
BALAJITELE,Balaji Telefilms Limited,EQ,22-NOV-2000,2,1,INE794B01026,2,Communication Services
BALAMINES,Balaji Amines Limited,EQ,05-APR-2007,2,1,INE050E01027,2,Basic Materials
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-NOV-2015,2,1,INE618N01022,2,Healthcare
BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-JUL-2015,10,1,INE875R01011,10,Consumer Cyclical
BALKRISIND,Balkrishna Industries Limited,EQ,27-JAN-2006,2,1,INE787D01026,2,Consumer Cyclical
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-JUL-1995,10,1,INE164A01016,10,Industrials
BALPHARMA,Bal Pharma Limited,EQ,08-MAY-2006,10,1,INE083D01012,10,Healthcare
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-FEB-1995,1,1,INE119A01028,1,Consumer Defensive
BALUFORGE,Balu Forge Industries Limited,EQ,29-APR-2024,10,1,INE011E01029,10,Industrials
BANARBEADS,Banaras Beads Limited,EQ,07-JUL-1995,10,1,INE655B01011,10,Consumer Cyclical
BANARISUG,Bannari Amman Sugars Limited,EQ,28-MAY-2003,10,1,INE459A01010,10,Consumer Defensive
BANCOINDIA,Banco Products (I) Limited,EQ,22-DEC-2006,2,1,INE213C01025,2,Consumer Cyclical
BANDHANBNK,Bandhan Bank Limited,EQ,27-MAR-2018,10,1,INE545U01014,10,Financial Services
BANG,Bang Overseas Limited,EQ,20-FEB-2008,10,1,INE863I01016,10,Consumer Cyclical
BANKA,Banka BioLoo Limited,EQ,29-OCT-2020,10,1,INE862Y01015,10,Industrials
BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,2,1,INE028A01039,2,Financial Services
BANKINDIA,Bank of India,EQ,30-APR-1997,10,1,INE084A01016,10,Financial Services
BANSALWIRE,Bansal Wire Industries Limited,EQ,10-JUL-2024,5,1,INE0B9K01025,5,Basic Materials
BANSWRAS,Banswara Syntex Limited,EQ,11-APR-2007,5,1,INE629D01020,5,Consumer Cyclical
BARBEQUE,Barbeque Nation Hospitality Limited,EQ,07-APR-2021,5,1,INE382M01027,5,Consumer Cyclical
BASF,BASF India Limited,EQ,17-MAY-1995,10,1,INE373A01013,10,Basic Materials
BASML,Bannari Amman Spinning Mills Limited,EQ,14-NOV-2005,5,1,INE186H01022,5,Consumer Cyclical
BATAINDIA,Bata India Limited,EQ,18-JUN-2003,5,1,INE176A01028,5,Consumer Cyclical
BAYERCROP,Bayer Cropscience Limited,EQ,08-JAN-2010,10,1,INE462A01022,10,Basic Materials
BBL,Bharat Bijlee Limited,EQ,21-NOV-2006,5,1,INE464A01036,5,Industrials
BBOX,Black Box Limited,EQ,22-JUL-2003,2,1,INE676A01027,2,Technology
BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996,2,1,INE050A01025,2,Consumer Defensive
BBTCL,B&B Triplewall Containers Limited,EQ,23-NOV-2022,10,1,INE01EE01011,10,Consumer Cyclical
BCG,Brightcom Group Limited,EQ,08-MAY-2015,2,1,INE425B01027,2,Communication Services
BCLIND,Bcl Industries Limited,EQ,04-MAR-2021,1,1,INE412G01024,1,Consumer Defensive
BCONCEPTS,Brand Concepts Limited,BE,11-JAN-2022,10,1,INE977Y01011,10,Consumer Cyclical
BDL,Bharat Dynamics Limited,EQ,23-MAR-2018,5,1,INE171Z01026,5,Industrials
BEARDSELL,Beardsell Limited,EQ,13-JAN-2015,2,1,INE520H01022,2,Industrials
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-DEC-2020,10,1,INE495P01012,10,Consumer Defensive
BEDMUTHA,Bedmutha Industries Limited,EQ,14-OCT-2010,10,1,INE844K01012,10,Basic Materials
BEL,Bharat Electronics Limited,EQ,19-JUL-2000,1,1,INE263A01024,1,Industrials
